Date,"CPI (All Items, monthly)",Unemployment Rate (monthly),Federal Funds Rate (daily),Real GDP (quarterly),Nonfarm Payrolls (monthly)
2015-09-01,237.498,5.0,0.14,,142275.0
2015-10-01,237.733,5.0,0.12,18435.137,142579.0
2015-11-01,238.017,5.1,0.12,,142808.0
2015-12-01,237.761,5.0,0.24,,143077.0
2016-01-01,237.652,4.8,0.34,18525.933,143210.0
2016-02-01,237.336,4.9,0.38,,143407.0
2016-03-01,238.08,5.0,0.36,,143662.0
2016-04-01,238.992,5.1,0.37,18711.702,143855.0
2016-05-01,239.557,4.8,0.37,,143900.0
2016-06-01,240.222,4.9,0.38,,144146.0
2016-07-01,240.101,4.8,0.39,18892.639,144520.0
2016-08-01,240.545,4.9,0.4,,144662.0
2016-09-01,241.176,5.0,0.4,,144967.0
2016-10-01,241.741,4.9,0.4,19089.379,145066.0
2016-11-01,242.026,4.7,0.41,,145183.0
2016-12-01,242.637,4.7,0.54,,145408.0
2017-01-01,243.618,4.7,0.65,19280.084,145628.0
2017-02-01,244.006,4.6,0.66,,145848.0
2017-03-01,243.892,4.4,0.79,,145969.0
2017-04-01,244.193,4.4,0.9,19438.643,146174.0
2017-05-01,244.004,4.4,0.91,,146380.0
2017-06-01,244.163,4.3,1.04,,146583.0
2017-07-01,244.243,4.3,1.15,19692.595,146772.0
2017-08-01,245.183,4.4,1.16,,146919.0
2017-09-01,246.435,4.3,1.15,,147007.0
2017-10-01,246.626,4.2,1.15,20037.088,147150.0
2017-11-01,247.284,4.2,1.16,,147373.0
2017-12-01,247.805,4.1,1.3,,147523.0
2018-01-01,248.859,4.0,1.41,20328.553,147660.0
2018-02-01,249.529,4.1,1.42,,148054.0
2018-03-01,249.577,4.0,1.51,,148280.0
2018-04-01,250.227,4.0,1.69,20580.912,148422.0
2018-05-01,250.792,3.8,1.7,,148740.0
2018-06-01,251.018,4.0,1.82,,148959.0
2018-07-01,251.214,3.8,1.91,20798.73,149020.0
2018-08-01,251.663,3.8,1.91,,149279.0
2018-09-01,252.182,3.7,1.95,,149358.0
2018-10-01,252.772,3.8,2.19,20917.867,149526.0
2018-11-01,252.594,3.8,2.2,,149617.0
2018-12-01,252.767,3.9,2.27,,149809.0
2019-01-01,252.561,4.0,2.4,21111.6,150059.0
2019-02-01,253.319,3.8,2.4,,150065.0
2019-03-01,254.277,3.8,2.41,,150295.0
2019-04-01,255.233,3.7,2.42,21397.938,150593.0
2019-05-01,255.296,3.6,2.39,,150621.0
2019-06-01,255.213,3.6,2.38,,150839.0
2019-07-01,255.802,3.7,2.4,21717.171,150936.0
2019-08-01,256.036,3.6,2.13,,151171.0
2019-09-01,256.43,3.5,2.04,,151365.0
2019-10-01,257.155,3.6,1.83,21933.217,151460.0
2019-11-01,257.879,3.6,1.55,,151668.0
2019-12-01,258.63,3.6,1.55,,151795.0
2020-01-01,259.127,3.6,1.55,21751.238,152031.0
2020-02-01,259.25,3.5,1.58,,152292.0
2020-03-01,258.076,4.4,0.65,,150895.0
2020-04-01,256.032,14.8,0.05,19958.291,130424.0
2020-05-01,255.802,13.2,0.05,,133040.0
2020-06-01,257.042,11.0,0.08,,137671.0
2020-07-01,258.352,10.2,0.09,21704.437,139255.0
2020-08-01,259.316,8.4,0.1,,140819.0
2020-09-01,259.997,7.8,0.09,,141770.0
2020-10-01,260.319,6.9,0.09,22087.16,142461.0
2020-11-01,260.911,6.7,0.09,,142731.0
2020-12-01,262.045,6.7,0.09,,142548.0
2021-01-01,262.639,6.4,0.09,22680.693,142913.0
2021-02-01,263.573,6.2,0.08,,143422.0
2021-03-01,264.847,6.1,0.07,,144246.0
2021-04-01,266.625,6.1,0.07,23425.91,144611.0
2021-05-01,268.404,5.8,0.06,,145032.0
2021-06-01,270.71,5.9,0.08,,145828.0
2021-07-01,271.965,5.4,0.1,23982.379,146759.0
2021-08-01,272.752,5.1,0.09,,147246.0
2021-09-01,273.942,4.7,0.08,,147712.0
2021-10-01,276.528,4.5,0.08,24813.6,148569.0
2021-11-01,278.824,4.2,0.08,,149206.0
2021-12-01,280.806,3.9,0.08,,149781.0
2022-01-01,282.542,4.0,0.08,25250.347,150006.0
2022-02-01,284.525,3.8,0.08,,150875.0
2022-03-01,287.467,3.7,0.2,,151346.0
2022-04-01,288.582,3.7,0.33,25861.292,151651.0
2022-05-01,291.299,3.6,0.77,,151892.0
2022-06-01,295.072,3.6,1.21,,152353.0
2022-07-01,294.94,3.5,1.68,26336.304,153049.0
2022-08-01,295.162,3.6,2.33,,153286.0
2022-09-01,296.421,3.5,2.56,,153513.0
2022-10-01,297.979,3.6,3.08,26770.514,153913.0
2022-11-01,298.708,3.6,3.78,,154210.0
2022-12-01,298.808,3.5,4.1,,154336.0
2023-01-01,300.456,3.5,4.33,27216.445,154780.0
2023-02-01,301.476,3.6,4.57,,155086.0
2023-03-01,301.643,3.5,4.65,,155171.0
2023-04-01,302.858,3.4,4.83,27530.055,155387.0
2023-05-01,303.316,3.6,5.06,,155614.0
2023-06-01,304.099,3.6,5.08,,155871.0
2023-07-01,304.615,3.5,5.12,28074.846,156019.0
2023-08-01,306.138,3.7,5.33,,156176.0
2023-09-01,307.374,3.8,5.33,,156334.0
